Term,CRN,Subject,Course Number,Sequence,Title,Credit Hours,Schedule Code,Status,Maximum Enrollment,Actual Enrollment,Seats Available,CrossList Group,CrossList Courses,CrossList Max Enrollment,CrossList Actual Enrollment,Crosslist Seats Available,Primary Instructor Last Name,Primary Instructor First Name,Primary Instructor Username,Instructor2 Last Name,Instructor2 First Name,Instructor2 Username,Instructor3 Last Name,Instructor3 First Name,Instructor3 Username,Begin Time1,End Time1,Building Code1,Room1,Monday1,Tuesday1,Wednesday1,Thursday1,Friday1,Saturday1,Sunday1,Begin Time2,End Time2,Building Code2,Room2,Monday2,Tuesday2,Wednesday2,Thursday2,Friday2,Saturday2,Sunday2,Begin Time3,End Time3,Building Code3,Room3,Monday3,Tuesday3,Wednesday3,Thursday3,Friday3,Saturday3,Sunday3,CIP Code,CIP Description,All Perspectives,Practical Reasoning,Arts Perspective,Social Science Perspective,Western History Perspective,Religion Perspective,Afr Amer Appl Wmn Perspective,International Perspective,Course Fee,Prerequisites
201713,30195,SOC,495,A,Youth Focus Internship,1,F,A,1,1,0,,,,,,Woodward,Andrea,woodwarda,Bouma,Jill,boumaj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451101,Sociology,(Active Learning Experience),,,,,,,,,
201713,30196,SPN,495,A,Spanish Internship,1,F,A,1,1,0,,,,,,de Rosset,Frederick,derossetf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160905,Spanish Language/Literature,(Active Learning Experience),,,,,,,,,
201713,30197,TAD,495,A,Quality Engineering Internship,1,F,A,1,1,0,,,,,,Mahoney,Gary,mahoneyg,Marks,Lisa,marksli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210101,Technology Ed/Industrial Arts,,,,,,,,,,
201713,30198,THR,495,C,Production KY Conservatory Thr,1,F,A,1,1,0,,,,,,Martin,Deborah,martinde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500501,"Drama/Theater Arts, General",(Active Learning Experience),,,,,,,,,
201713,30199,WGS,495,A,Community Outreach,1,F,A,1,1,0,,,,,,Mason,Qrescent,masonq,Rivage-Seul,Marguerite,rivage-seulp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50207,Women's Studies,,,,,,,,,,
201713,30200,WGS,495,B,Parenthood Community Outreach,1,F,A,1,1,0,,,,,,Mason,Qrescent,masonq,Rivage-Seul,Marguerite,rivage-seulp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50207,Women's Studies,,,,,,,,,,
201713,30051,THR,200S,A,Fem Lit Adptn Jamaica  AFR WGS,1,L,A,0,6,-6,A1,AFR 200S/THR 200S/WGS 200S,0,14,-14,Barton,Adanma,bartonad,Mason,Qrescent,masonq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500503,Theatre,(Active Learning Experience; International Perspective),,,,,,,,4130,
201713,30052,WGS,200S,A,Fem Lit Adptn Jamaica AFR THR,1,L,A,0,8,-8,A1,AFR 200S/THR 200S/WGS 200S,0,14,-14,Barton,Adanma,bartonad,Mason,Qrescent,masonq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500503,Theatre,(Active Learning Experience; International Perspective),,,,,,,,4130,
201713,30203,AFR,395,A,Afr Amer Studies Internship,1,F,A,0,1,-1,,,,,,Turley,Alicestyne,turleya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50201,Afro-American (Black) Studies,(Active Learning Experience),,,,,,,,,
201713,30204,AST,395,A,Service-Learning in Japan,1.5,F,A,0,1,-1,,,,,,Richey,Jeffrey,richeyj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Unknown CIP,(Active Learning Experience),,,,,,,,,
201713,30205,BUS,395,I,Human Resources Internship,1,F,A,0,1,-1,,,,,,Reid,Maurice,reidma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Unknown CIP,(Active Learning Experience),,,,,,,,,
201713,30206,BUS,495,D,Financial Analyst Internship,1,F,A,0,1,-1,,,,,,McCormack,George,mccormacke,Hackbert,Peter,hackbertp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520101,"Business, General",(Active Learning Experience),,,,,,,,,
201713,30207,BUS,495,E,Advertising Internship,1,F,A,0,1,-1,,,,,,Sowers,Nancy,sowersn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520101,"Business, General",(Active Learning Experience),,,,,,,,,
